127.0.0.1 - - [18/Aug/2021:17:36:45 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [18/Aug/2021:17:36:46 -0300] "GET /ProjetoIndividual/ HTTP/1.1" 200 938
0:0:0:0:0:0:0:1 - - [18/Aug/2021:17:36:46 -0300] "GET /ProjetoIndividual/css/site.css HTTP/1.1" 200 1332
0:0:0:0:0:0:0:1 - - [18/Aug/2021:17:36:46 -0300] "GET /ProjetoIndividual/imgs/logo.png HTTP/1.1" 200 18267
0:0:0:0:0:0:0:1 - - [18/Aug/2021:17:36:50 -0300] "GET /ProjetoIndividual/ HTTP/1.1" 200 938
0:0:0:0:0:0:0:1 - - [18/Aug/2021:17:36:51 -0300] "GET /ProjetoIndividual/imgs/logo.png HTTP/1.1" 200 18267
0:0:0:0:0:0:0:1 - - [18/Aug/2021:17:36:51 -0300] "GET /ProjetoIndividual/css/site.css HTTP/1.1" 200 1332
0:0:0:0:0:0:0:1 - - [18/Aug/2021:17:36:51 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [18/Aug/2021:17:42:32 -0300] "GET /ProjetoIndividual/pages/admin/adminInicio.html HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [18/Aug/2021:17:42:32 -0300] "GET /ProjetoIndividual/css/admin.css HTTP/1.1" 200 2439
0:0:0:0:0:0:0:1 - - [18/Aug/2021:17:42:32 -0300] "GET /ProjetoIndividual/js/admin.js HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [18/Aug/2021:17:42:32 -0300] "GET /ProjetoIndividual/imgs/vendas.png HTTP/1.1" 200 3763
0:0:0:0:0:0:0:1 - - [18/Aug/2021:17:42:32 -0300] "GET /ProjetoIndividual/imgs/produtos.png HTTP/1.1" 200 2852
0:0:0:0:0:0:0:1 - - [18/Aug/2021:17:42:32 -0300] "GET /ProjetoIndividual/imgs/categorias.png HTTP/1.1" 200 2049
0:0:0:0:0:0:0:1 - - [18/Aug/2021:17:42:32 -0300] "GET /ProjetoIndividual/imgs/usuarios.png HTTP/1.1" 200 2475
0:0:0:0:0:0:0:1 - - [18/Aug/2021:17:42:32 -0300] "GET /ProjetoIndividual/imgs/funcionarios.png HTTP/1.1" 200 1753
0:0:0:0:0:0:0:1 - - [18/Aug/2021:17:42:32 -0300] "GET /ProjetoIndividual/pages/admin/general/header.html HTTP/1.1" 200 670
0:0:0:0:0:0:0:1 - - [18/Aug/2021:17:42:32 -0300] "GET /ProjetoIndividual/imgs/logomenor.png HTTP/1.1" 200 18267
0:0:0:0:0:0:0:1 - - [18/Aug/2021:17:42:37 -0300] "GET /ProjetoIndividual/pages/admin/adminInicio.html HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [18/Aug/2021:17:42:37 -0300] "GET /ProjetoIndividual/css/admin.css HTTP/1.1" 200 2439
0:0:0:0:0:0:0:1 - - [18/Aug/2021:17:42:37 -0300] "GET /ProjetoIndividual/js/admin.js HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [18/Aug/2021:17:42:37 -0300] "GET /ProjetoIndividual/imgs/vendas.png HTTP/1.1" 200 3763
0:0:0:0:0:0:0:1 - - [18/Aug/2021:17:42:37 -0300] "GET /ProjetoIndividual/imgs/produtos.png HTTP/1.1" 200 2852
0:0:0:0:0:0:0:1 - - [18/Aug/2021:17:42:37 -0300] "GET /ProjetoIndividual/imgs/categorias.png HTTP/1.1" 200 2049
0:0:0:0:0:0:0:1 - - [18/Aug/2021:17:42:37 -0300] "GET /ProjetoIndividual/imgs/usuarios.png HTTP/1.1" 200 2475
0:0:0:0:0:0:0:1 - - [18/Aug/2021:17:42:37 -0300] "GET /ProjetoIndividual/imgs/funcionarios.png HTTP/1.1" 200 1753
0:0:0:0:0:0:0:1 - - [18/Aug/2021:17:42:37 -0300] "GET /ProjetoIndividual/pages/admin/general/header.html HTTP/1.1" 200 670
0:0:0:0:0:0:0:1 - - [18/Aug/2021:17:42:37 -0300] "GET /ProjetoIndividual/imgs/logomenor.png HTTP/1.1" 200 18267
0:0:0:0:0:0:0:1 - - [18/Aug/2021:17:44:53 -0300] "GET /ProjetoIndividual/pages/admin/adminInicio.html HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [18/Aug/2021:17:44:53 -0300] "GET /ProjetoIndividual/css/admin.css HTTP/1.1" 200 2439
0:0:0:0:0:0:0:1 - - [18/Aug/2021:17:44:53 -0300] "GET /ProjetoIndividual/js/admin.js HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [18/Aug/2021:17:44:53 -0300] "GET /ProjetoIndividual/imgs/vendas.png HTTP/1.1" 200 3763
0:0:0:0:0:0:0:1 - - [18/Aug/2021:17:44:53 -0300] "GET /ProjetoIndividual/imgs/produtos.png HTTP/1.1" 200 2852
0:0:0:0:0:0:0:1 - - [18/Aug/2021:17:44:53 -0300] "GET /ProjetoIndividual/imgs/categorias.png HTTP/1.1" 200 2049
0:0:0:0:0:0:0:1 - - [18/Aug/2021:17:44:53 -0300] "GET /ProjetoIndividual/imgs/usuarios.png HTTP/1.1" 200 2475
0:0:0:0:0:0:0:1 - - [18/Aug/2021:17:44:53 -0300] "GET /ProjetoIndividual/imgs/funcionarios.png HTTP/1.1" 200 1753
0:0:0:0:0:0:0:1 - - [18/Aug/2021:17:44:53 -0300] "GET /ProjetoIndividual/pages/admin/general/header.html HTTP/1.1" 200 670
0:0:0:0:0:0:0:1 - - [18/Aug/2021:17:44:53 -0300] "GET /ProjetoIndividual/imgs/logomenor.png HTTP/1.1" 200 18267
0:0:0:0:0:0:0:1 - - [18/Aug/2021:17:45:11 -0300] "GET /ProjetoIndividual/pages/admin/adminInicio.html HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [18/Aug/2021:17:45:11 -0300] "GET /ProjetoIndividual/css/admin.css HTTP/1.1" 200 2418
0:0:0:0:0:0:0:1 - - [18/Aug/2021:17:45:11 -0300] "GET /ProjetoIndividual/js/admin.js HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [18/Aug/2021:17:45:11 -0300] "GET /ProjetoIndividual/imgs/vendas.png HTTP/1.1" 200 3763
0:0:0:0:0:0:0:1 - - [18/Aug/2021:17:45:11 -0300] "GET /ProjetoIndividual/imgs/produtos.png HTTP/1.1" 200 2852
0:0:0:0:0:0:0:1 - - [18/Aug/2021:17:45:11 -0300] "GET /ProjetoIndividual/imgs/categorias.png HTTP/1.1" 200 2049
